floorName,section,blockOrder,anchorX,startY,align,category,row,rowOrder,segments,offsetSeats
ground,Ground Front Left,1,-180,320,start,regular,G,1,12,0
ground,Ground Front Left,1,-180,354,start,regular,F,2,11,0
ground,Ground Front Left,1,-180,388,start,regular,E,3,10,0
ground,Ground Front Left,1,-180,422,start,regular,D,4,9,0
ground,Ground Front Left,1,-180,456,start,regular,C,5,8,0
ground,Ground Front Left,1,-180,490,start,regular,B,6,7,0
ground,Ground Front Center,2,650,320,center,regular,G,1,27,12
ground,Ground Front Center,2,650,354,center,regular,F,2,26,11
ground,Ground Front Center,2,650,388,center,regular,E,3,25,10
ground,Ground Front Center,2,650,422,center,regular,D,4,24,9
ground,Ground Front Center,2,650,456,center,regular,C,5,23,8
ground,Ground Front Center,2,650,490,center,regular,B,6,21,7
ground,Ground Front Center,2,650,524,center,regular,A,7,20,0
ground,Ground Front Right,3,1480,320,end,regular,G,1,12,39
ground,Ground Front Right,3,1480,354,end,regular,F,2,11,37
ground,Ground Front Right,3,1480,388,end,regular,E,3,10,35
ground,Ground Front Right,3,1480,422,end,regular,D,4,9,33
ground,Ground Front Right,3,1480,456,end,regular,C,5,8,31
ground,Ground Front Right,3,1480,490,end,regular,B,6,7,28
ground,Ground Middle Left,4,16,40,start,regular,N,1,4,0
ground,Ground Middle Left,4,-400,74,start,regular,M,2,20,0
ground,Ground Middle Left,4,-400,108,start,regular,L,3,20,0
ground,Ground Middle Left,4,-400,142,start,regular,K,4,19,0
ground,Ground Middle Left,4,-400,176,start,regular,J,5,18,0
ground,Ground Middle Left,4,-400,210,start,regular,I,6,17,0
ground,Ground Middle Left,4,-400,244,start,regular,H,7,16,0
ground,Ground Middle Center Left,5,522,6,end,regular,O,1,11,0
ground,Ground Middle Center Left,5,548,40,end,regular,N,2,12,4
ground,Ground Middle Center Left,5,600,74,end,regular,M,3,14,20
ground,Ground Middle Center Left,5,600,108,end,regular,L,4,14,20
ground,Ground Middle Center Left,5,574,142,end,regular,K,5,13,19
ground,Ground Middle Center Left,5,574,176,end,regular,J,6,13,18
ground,Ground Middle Center Left,5,574,210,end,regular,I,7,13,17
ground,Ground Middle Center Left,5,548,244,end,regular,H,8,12,16
ground,Ground Middle Center Right,6,780,6,start,regular,O,1,11,11
ground,Ground Middle Center Right,6,754,40,start,regular,N,2,12,16
ground,Ground Middle Center Right,6,702,74,start,regular,M,3,14,34
ground,Ground Middle Center Right,6,702,108,start,regular,L,4,14,34
ground,Ground Middle Center Right,6,728,142,start,regular,K,5,13,32
ground,Ground Middle Center Right,6,728,176,start,regular,J,6,13,31
ground,Ground Middle Center Right,6,728,210,start,regular,I,7,13,30
